column,data_type,human_name,semantic,purpose,non_null_w1,total_w1,pct_w1,non_null_w2,total_w2,pct_w2,non_null_total,total_all,pct_all,samples,relation_map,enum_map,related_table,related_column,date_split_column
MagPlace,varchar(200),"MAG Place","data; varchar; e.g.",data,0,0,,42,29361,0.14,224761,259549,86.6,"  | מומלץ-בתוקף 24 חודש ?????-????? 24 ???? | כפר הנוער מנוף ??? ????? ???? | עבר-בתוקף 24 חודש ???-????? 24 ???? | כפר אחים ??? ????",,,,,created_at
DnaID,varchar(200),"DNA ID","identifier; varchar; e.g.",identifier,0,0,,13112,29361,44.66,74456,259549,28.69," | 19OREU09619  | #V297961 | V516432 | V408990",,,,,created_at
Chip,varchar(200),Microchip,"identifier; varchar; e.g.",identifier,0,0,,29295,29361,99.78,131362,259549,50.61," | 643098100087586 | 804098100013855 | 0 | 985121014908164",,,,,created_at
GidulShowType,varchar(200),"Gidul Show Type","identifier; varchar; e.g. after",identifier,0,0,,5025,29361,17.11,104877,259549,40.41,"after |  | before | none",,,,,created_at
pedigree_color,varchar(30),"Pedigree Color","data; varchar; e.g. Blue",data,0,0,,41,29361,0.14,41,259549,0.02,"Blue | Red",,,,,created_at
PedigreeNotes,varchar(4000),"Pedigree Notes","notes; varchar; e.g.",notes,0,0,,14550,29361,49.56,241914,259549,93.21,"  | RUS,GRAND,BLR,UKR-CH RUS,GRAND,BLR,UKR-CH | MOL-J-CH MOL-CH MOL-J-CH MOL-CH | 19OREU09619  19OREU09619  | CH-SH  CH-SH ",,,,,created_at
HealthNotes,varchar(4000),"Health Notes","notes; varchar; e.g.",notes,0,0,,0,29361,0,56322,259549,21.7," | EDO | ED1
 | ED-0 | PRA-Normal 4/9/2003",,,,,created_at
Status,varchar(200),Status,"data; varchar; e.g.",data,0,0,,339,29361,1.15,25881,259549,9.97," | notapproved | onhold | notrecomm | waiting",,,,,created_at
Image2,varchar(300),"Image #2","media; varchar; e.g. 202230;misoku_ch.jpg",media,0,0,,0,29361,0,171,259549,0.07,"202230;misoku_ch.jpg | 202230;bobtail_ch.jpg | 202230;ixavquantosdanskchampion.pdf | 202230;Hun_ch_18877.jpg | ",,,,,created_at
TitleName,varchar(300),"Titles (pre‑2010)","record name; varchar; e.g. GCH RUS, CH RUS, KAZ, KGZ, UZB, JCH RUS, CH RKF, CH CLUB RUS","record name",0,0,,42,29361,0.14,42,259549,0.02,"GCH RUS, CH RUS, KAZ, KGZ, UZB, JCH RUS, CH RKF, CH CLUB RUS | null | DK S CH | SA CH | Int.Ch, DKCh",,,,,created_at
Breeder_Name,varchar(300),"Breeder Name (Text)","record name; varchar; e.g. Meital Bar-Sela","record name",0,0,,13109,29361,44.65,13144,259549,5.06,"Meital Bar-Sela | ישראל ישראלי | Mrs. Irina Ischenko, Ukraine. | Yu.A. Tarkhanova, Russia | Henric Fryckstrand, Sweden",,,,,created_at
BreedID,"decimal(28,8)","Breed ID (alt)","identifier; decimal; e.g. 81.00000000",identifier,0,0,,3,29361,0.01,3,259549,0,81.00000000,BreedsDB.BreedCode,,BreedsDB,BreedCode,created_at
sheger_id,bigint(20),"Sheger ID","identifier; bigint; e.g. 144",identifier,0,0,,14474,29361,49.3,14474,259549,5.58,"144 | 151 | 153 | 157 | 158",,,,,created_at
sagir_prefix,varchar(20),"SAGIR Prefix","enum; varchar; e.g. 4",enum,0,0,,29355,29361,99.98,259531,259549,99.99,"4 | 5 | 3 | 1 | 2",,"{""1"":""ISR"",""2"":""IMP"",""3"":""APX"",""4"":""EXT"",""5"":""NUL""}",,,created_at
is_correct,varchar(255),"Is Correct","flag; varchar; e.g. 1",flag,0,0,,371,29361,1.26,10923,259549,4.21,"1 | 0",,,,,created_at
message,text,Message,"data; text; e.g. חברת כבוד בהתאחדות - החברות הינה לצמיתות, עודכנה לה חברות עד 01.01.2040
25.05.25 לבקשת יוסי חדד הוגדרה חברות כבוד בחוג הישראלי לכלבי שפיץ עבור מירנה",data,0,0,,475,29361,1.62,4731,259549,1.82,"חברת כבוד בהתאחדות - החברות הינה לצמיתות, עודכנה לה חברות עד 01.01.2040
25.05.25 לבקשת יוסי חדד הוגדרה חברות כבוד בחוג הישראלי לכלבי שפיץ עבור מירנה | . | חסר זכר סאלוקי מספר סגיר -14622
Caranat Al Naqawa 
desertsalukis@gmail.com | גזע כללי?? | מס 32 זהה למס 2 
מס 16 לא זכור לי
חסרה בוסטון טרייר נקבה סגיר 136336",,,,,created_at
message_test,varchar(255),"Message (Test)","data; varchar; e.g. ?????? ???? ??? ?? ?????",data,0,0,,0,29361,0,1,259549,0,"?????? ???? ??? ?? ?????",,,,,created_at
not_relevant,tinyint(1),"Not Relevant","flag; tinyint; e.g. 1",flag,0,0,,166,29361,0.57,2675,259549,1.03,"1 | 0",,,,,created_at
IsMagPass_2,"decimal(28,8)","MAG 2nd Pass","flag; decimal; e.g. 0.00000000",flag,0,0,,205,29361,0.7,64931,259549,25.02,"0.00000000 | 1.00000000 | 2.00000000",,,,,created_at
MagDate_2,datetime(6),"MAG 2nd Date","date; datetime; e.g.",date,0,0,,0,29361,0,0,259549,0,,,,,,created_at
MagJudge_2,varchar(255),"MAG 2nd Judge","data; varchar; e.g.",data,0,0,,29361,29361,100,259548,259549,100,,,,,,created_at
MagPlace_2,varchar(255),"MAG 2nd Place","data; varchar; e.g.",data,0,0,,29361,29361,100,95254,259549,36.7," | ?????-????? 24 ???? | ??? ????? ???? | ???-????? 24 ???? | ??? ????",,,,,created_at
PedigreeNotes_2,varchar(1000),"Pedigree Notes (2)","notes; varchar; e.g.",notes,0,0,,29361,29361,100,119458,259549,46.03," | RUS,GRAND,BLR,UKR-CH | MOL-J-CH MOL-CH | 19OREU09619  | CH-SH ",,,,,created_at
Notes_2,varchar(1000),"Notes (2)","notes; varchar; e.g.",notes,0,0,,29361,29361,100,259549,259549,100," | MOL,BIR-CH | 200702104 | 200702103 | ????? ????",,,,,created_at
red_pedigree,tinyint(1),"Red Pedigree","flag; tinyint; e.g. 0",flag,0,0,,23685,29361,80.67,249228,259549,96.02,"0 | 1",,,,,created_at
Chip_2,varchar(255),"Microchip (2)","identifier; varchar; e.g. 0",identifier,0,0,,41,29361,0.14,68,259549,0.03,"0 | 953010001278665 | 953010001969520 | 985111000923997 | 990000002718043",,,,,created_at
Foreign_Breeder_name,varchar(255),"Foreign Breeder Name","record name; varchar; e.g. Zubenko Olena","record name",0,0,,2,29361,0.01,2,259549,0,"Zubenko Olena | Sinchenko Zh.N, Russia",,,,,created_at
Breeding_ManagerID,bigint(20),"Breeding Manager (User)","identifier; bigint; e.g. 249369",identifier,0,0,,409,29361,1.39,409,259549,0.16,"249369 | 249571 | 231298 | 227921 | 228508",users.id,,users,id,created_at
