show_id,arena_id,judge_id,judge_name_he,judge_name_en,breeds_count
1378,2174,64,"ראכלין דורון","Rachlin Doron",13
1378,2175,174,"סוניה קלוורי פיליפו","Sonia Kelveri Philippou",3
1378,2176,6,"איתן הנדל","Eytan Hendel",12
1378,2177,351,"בוטרימובה קורנליה","Butrimova Kornelia",17
1378,2178,346,"לוקאס דוני","Lucas Donne",8
1378,2179,349,"מוזיקי ​​ג'לנה","Musikic Jelena",11
1378,2180,350,"סאווה אנדראס","Savva Andreas",4
1378,2182,348,"פאלומבו אלכסנדרה","Palumbo Aleksandra",1
1378,2183,178,"ידרנקה מיאטוביץ","Mijatovic Jadranka",12
1378,2184,60,"מלאך אבי","Mallach Avi",4
